A,B,C,D,E
-1.4740128287949077,0.07546781448191209,0.2215077060994769,0.30447067637478165,1.084262794823543
-0.18219753786078524,-0.9546485099136057,0.9032416974417236,1.548281139202854,-0.6056513748877153
2.5953492530139894,0.4327443304739278,-1.2551823505149642,0.3991920970908568,-0.5037254797776988
-0.09962976933157806,-2.1985166117998576,1.7141569869695823,-0.3677052672411987,0.6841707813757372
0.3808155220873431,0.26105527640746595,-1.0760734130032805,-0.0051125347499094784,1.2199428126653462
0.44598299944631137,-2.099788188897449,-0.5093163805151557,0.09203282991563519,-0.6188604642636929
-0.6536498464399991,0.8005858263917701,0.3030524469477293,-0.33788635831851055,1.1882149286535741
0.4838703702707082,-0.1065339780616078,-1.3747336970247104,1.1956999529593697,0.07360052697571445
0.49344053396880416,0.3591586040798974,1.2395138789996882,0.2946035455369629,-2.022495604278113
-1.5125326908389862,-0.43372399044478144,0.04526758276204502,0.5918470578410792,2.4144203488183797
