A,B,C,D,E
-0.49378756659771456,-0.6471086446726169,-0.4211796301770649,-0.5365711160544998,0.44860983144967703
0.6847789441473776,-1.3529289518914136,-0.46982283171629896,0.34743463918301715,0.7125180005324763
-0.3293706884471358,-0.14213983738441904,0.9200791417040136,0.7486426598130841,1.8917645401505214
0.6592507718915562,-1.8330277749428003,-0.5155365179576444,0.924310919518967,0.6569696607494234
1.694185551197025,-0.3520723579874782,-0.3429002623543909,0.20521267207495972,-1.3763887923959
-0.47831721472022143,-0.9343350516957922,-0.06986487871649805,0.4914582909838411,0.13504931337054138
0.5428031528365114,-0.024620926865287867,1.0186922260640734,1.0015412064073594,-1.539410326375618
-0.31923973363271296,0.6065749556956282,1.3949963848347722,0.42866766820327395,-0.34967682691393087
-0.7559914316998609,0.5031615301598689,0.43731993287066023,-0.015340626062949253,-0.6243994755552136
0.7963650176405805,0.895343512436926,-1.1160062259616215,0.7638342165068844,-1.198791991966323
